959	235
958	269
996	273
993	302
971	327
957	310
953	309
955	343
960	352
965	361
970	355
936	374
912	366
923	349
932	343
918	322
903	298
886	297
884	310
891	337
890	380
879	380
867	380
875	392
889	392
872	408
863	418
851	398
850	392
838	380
856	369
847	337
837	317
819	340
796	333
797	352
798	398
799	417
811	440
816	444
810	476
793	488
785	474
781	473
769	478
765	472
738	476
700	472
694	450
653	446
635	470
613	473
607	484
617	502
603	509
608	536
645	517
662	513
674	501
682	509
702	496
724	517
742	531
751	546
769	541
767	516
812	517
815	513
815	522
820	501
865	478
871	489
875	488
872	505
902	535
916	533
917	522
925	500
912	475
897	448
884	437
959	235
