887	296
894	294
898	299
900	307
903	311
907	301
913	305
915	305
922	306
926	300
930	296
930	291
934	289
938	293
937	299
944	295
941	287
946	274
944	273
948	273
953	275
959	274
965	269
970	276
971	277
975	282
977	273
977	264
985	260
993	271
997	273
992	282
995	289
999	295
988	296
984	280
999	257
995	249
989	243
992	239
989	230
990	225
994	221
990	212
993	210
987	214
982	217
984	219
979	223
980	228
974	228
971	219
971	216
975	212
981	207
985	202
982	200
976	201
973	204
969	207
965	208
963	215
956	221
954	218
953	213
952	211
953	205
957	202
956	192
956	189
955	187
945	185
939	188
936	174
944	172
944	170
945	162
941	159
936	159
943	151
936	148
936	146
932	147
931	143
934	139
941	139
942	141
946	133
943	130
937	125
931	121
923	123
921	128
911	128
904	129
908	137
909	140
917	146
922	149
916	153
911	155
906	150
897	151
899	160
907	162
910	163
917	162
928	168
913	179
910	174
908	185
908	188
904	191
898	193
894	193
888	194
884	188
881	196
868	195
870	187
872	182
862	187
856	183
849	182
844	182
844	181
837	183
834	181
829	186
823	181
821	191
815	193
811	191
809	192
808	184
806	184
798	178
794	179
787	178
783	179
779	184
782	188
776	192
772	195
771	200
777	198
787	198
789	206
785	207
777	210
771	212
774	216
778	224
785	221
791	216
797	215
800	216
802	219
797	221
793	225
791	227
790	231
787	234
788	241
795	232
795	230
801	236
805	243
806	248
810	241
812	240
814	237
814	231
824	233
825	232
826	233
825	237
823	226
834	222
835	221
839	229
840	239
836	240
832	248
828	250
824	254
833	255
833	259
844	255
846	249
854	251
860	249
864	247
866	247
867	254
870	255
862	263
857	259
846	266
843	272
839	280
844	286
847	289
849	290
852	289
851	285
861	287
861	283
865	279
868	281
865	289
865	298
872	298
875	294
877	288
879	277
880	275
877	271
887	275
892	267
892	265
895	256
899	254
900	248
910	251
905	262
908	269
913	265
918	270
921	272
922	271
914	283
908	292
905	294
900	288
904	275
924	289
927	287
938	265
934	257
923	248
925	244
927	243
926	237
924	230
924	229
921	230
926	222
933	227
934	235
941	237
948	245
951	251
956	248
960	244
964	236
960	235
957	233
950	227
941	223
934	216
932	204
931	201
935	203
923	210
919	207
911	212
913	217
904	219
902	212
905	209
899	198
887	296
